"no_entry_so","no_so","kode_barang","kode_sales","qty","satuan","tgl_so","kode_customer"
1,SO001,A001,S001,10.0,krat,"2018-01-01",C001
2,SO001 ,A002,S001,21.0,botol,"2018-01-01",C001
3,SO001,A010,S001,36.0,botol,"2018-01-01",C001
4,SO002,A003,S001,25.0,dus,"2018-01-04",C002
5,SO002,A001,S001,2.0,krat,"2018-01-04",C002
6,SO003,A003,S004,18.0,botol,"2018-01-05",C001
7,SO004,A010,S004,52.0,dus,"2018-01-10",C003
8,SO004 ,A004,S004,31.0,dus,"2018-01-10",C003
9,SO005 ,A009,S002,21.0,dus,"2018-01-11",C002
10,SO005,A007,S002,8.0,krat,"2018-01-11",C002
11,SO005,A003,S002,39.0,botol,"2018-01-11",C002
12,SO006,A008,S001,51.0,krat,"2018-01-11",C004
13,SO006,A010,S001,75.0,dus,"2018-01-11",C004
14,SO007,A002,S002,92.0,dus,"2018-01-22",C001
15,SO008,A002,S003,75.0,krat,"2018-01-23",C003
16,SO008,A001,S003,76.0,botol,"2018-01-23",C003
17,SO009,A005,S004,8.0,krat,"2018-01-27",C002
18,SO010,A001,S005,19.0,dus,"2018-01-30",C004
19,SO010,A002,S005,82.0,botol,"2018-01-30",C004
20,SO011,A005,S003,11.0,krat,"2018-01-31",C003
